,Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,Mom   
114,648,1.87,-1.69,-0.31,-0.64,-0.2,0.07,2017,7,1.68
115,649,0.16,-1.82,-2.09,0.14,-2.38,0.09,2017,8,3.26
116,650,2.51,4.78,3.14,-1.47,1.69,0.09,2017,9,-1.32
117,651,2.25,-1.94,0.2,0.93,-3.25,0.09,2017,10,4.27
118,652,3.12,-0.33,-0.03,3.16,-0.05,0.08,2017,11,-0.87
119,653,1.06,-1.07,0.06,0.74,1.69,0.09,2017,12,-1.54
120,654,5.57,-3.18,-1.29,-0.76,-0.96,0.12,2018,1,4.05
121,655,-3.65,0.32,-1.04,0.52,-2.37,0.11,2018,2,3.58
122,656,-2.35,3.59,-0.21,-0.46,0.01,0.11,2018,3,-1.13
123,657,0.28,0.93,0.54,-2.42,1.3,0.14,2018,4,0.36
124,658,2.65,4.73,-3.2,-2.04,-1.5,0.14,2018,5,3.89
125,659,0.48,0.8,-2.34,0.79,0.24,0.14,2018,6,-2.35
126,660,3.19,-1.93,0.47,1.56,0.35,0.16,2018,7,-1.41
127,661,3.44,0.64,-3.94,-0.31,-2.7,0.16,2018,8,5.29
128,662,0.06,-2.48,-1.7,0.63,1.29,0.15,2018,9,0.04
129,663,-7.68,-4.46,3.4,0.94,3.59,0.19,2018,10,-1.99
130,664,1.69,-0.77,0.3,-0.55,0.39,0.18,2018,11,-1.37
131,665,-9.57,-2.88,-1.84,-0.02,0.21,0.2,2018,12,2.11
132,666,8.4,3.03,-0.46,-0.8,-1.51,0.21,2019,1,-8.68
133,667,3.4,1.74,-2.67,0.12,-1.59,0.18,2019,2,0.86
134,668,1.1,-3.51,-4.17,0.9,-0.95,0.19,2019,3,2.21
135,669,3.97,-1.17,2.15,1.61,-2.22,0.21,2019,4,-2.97
136,670,-6.94,-1.59,-2.37,-0.46,1.77,0.21,2019,5,7.56
137,671,6.93,0.37,-0.71,0.9,-0.44,0.18,2019,6,-2.3
138,672,1.19,-1.78,0.48,-0.08,0.36,0.19,2019,7,2.89
139,673,-2.58,-3.24,-4.78,0.56,-0.68,0.16,2019,8,6.92
140,674,1.43,0.27,6.75,1.84,3.37,0.18,2019,9,-6.81
141,675,2.06,0.26,-1.91,0.44,-0.96,0.16,2019,10,0.15
142,676,3.87,0.44,-2.02,-1.59,-1.24,0.12,2019,11,-2.66
143,677,2.77,0.97,1.75,0.01,1.24,0.14,2019,12,-1.77
